Type,Literal meaning,Figurative sentence
Simile,"From the day you were born, you've been invincible","From the day you were born, you've been like a well-seasoned superhero."
Simile,You are a chef who prepares onions in a world where crying is instantly lethal,You are a chef who prepares onions in a world where crying is like Anthrax exposure.
Simile,After 10 minutes your head becomes fuzzy,After 10 minutes your head becomes like spinning cotton candy.
Simile,I live wealthily,I live like Daddy Warbucks.
Simile,You wake one morning to find your entire family lying unconscious,You wake one morning to find your entire family lying like gray slabs of cement.
Simile,Your guardian angel is just a little too enthusiastic,Your guardian angel is just a little too much like a nerd at a comic convention.
Simile,Seemingly honorable it would be easy to mistake you as chivalrous,Seemingly honorable it would be easy to mistake you to be like a valiant knight.
Simile,"Growing up, people always thought you were strange","Growing up, people always thought you were like a social pariah."
Simile,"As a human tick hybrid, life can sometimes be tricky","As a human-tick hybrid, life can sometimes be like an interspecies balancing act ."
Simile,"You visit the tower at night to get a new perspective, expecting nothing too exciting","You visit the tower at night to get a new perspective, expecting nothing like a real adventure."
Simile,The sound hit Frank loud enough to make your ear hurt,The sound hit Frank like the carnal screams of a rock concert moshpit.
Simile,I knew there was pain but this was intense,I knew there was pain but this was like a sharp dagger.
Simile,"He had a wide smile, but his eyes were cold, yet intense","He had a wide smile, but his eyes were cold, yet like a piercing breeze."
Simile,"Whenever the sun goes away, he stays up there keeping the magic alive","Whenever the sun goes away, he stays up there keeping the magic like a sacred burning flame."
Simile,"As you approach him, his eyes begin to shed tears that appear luminescent","As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars."
Simile,"It wouldn't always be noticeable, but it was always palpable","It wouldn't always be noticeable, but it was always like a physical pull."
Simile,"It wouldn't always be noticeable, but it was always palpable","It wouldn't always be noticeable, but it was always like the morning dew."
Simile,I made quick work of one with my knife and slipped inside undetected,I made quick work of one with my knife and slipped inside like a night shadow.
Simile,The surface of Mars was blossoming beautifully,The surface of Mars was blossoming like the Garden of Eden.
Simile,"Whenever the sun goes away, he stays up there keeping the magic alive","Whenever the sun goes away, he stays up there keeping the magic burning like a hearth."
Simile,"But the next morning, it sounds terrible","But the next morning, it sounds like a sick cat."
Simile,One day you decide to test it out and what you experience is unbelievable,One day you decide to test it out and what you experience is like a fantastical dream.
Simile,In the near future e-sports have become extremely popular and equally profitable,In the near future e-sports have become extremely popular and like a quick investment.
Simile,"As a human tick hybrid, life can sometimes be tricky","As a human tick hybrid, life can sometimes be like sucking the nectar out of dried fruit."
Simile,Adrenaline shot through him powerful,Adrenaline shot through him like a lightning bolt.
Simile,"When you were but a child, your creative power was unmatched","When you were but a child, your creative power was like an lesson to students and teachers alike."
Simile,Because of this all interstellar species evolved on gas giants and thought earth was uninhabitable,"Because of this, all interstellar species evolved on gas giants and thought earth was like a barren wasteland."
Simile,"Unfortunately, you have a spiritual disorder, and your luck is almost always incredibly low","Unfortunately, you have a spiritual disorder, and your luck is almost always like your failing GPA"
Simile,"All contact with the surface has been lost, and the radiation topside is lethal","All contact with the surface has been lost, and the radiation topside is like skin-permeating poison."
Simile,Netflix &amp; Chill just went horribly wrong,Netflix & Chill just went like a glitching code.
Simile,If it falls into the wrong hands it would be catastrophic,If it falls into the wrong hands it would be like the start of World War III.
Simile,"They all agree the books are good reads, but they are too unrealistic","They all agree the books are good reads, but they are like pseudo science fiction."
Simile,"You both have something important to say, but time is short","You both have something important to say, but time is like a dwindling hourglass."
Simile,"Pale, yet bright it's flesh glowed pleasingly","Pale yet bright, its flesh glowed like a warm sunrise."
Simile,Except no one knows because they are microscopic,Except no one knows because they are bacteria invisible to the naked eye.
Simile,"After taking a pill, you suddenly realize that it all was intentional","After taking a pill, you suddenly realize that it all was like predestination."
Simile,"In the dead of summer, in Ohio, the clothes felt hot and humid","In the dead of summer, in Ohio, the clothes felt like melting rubber."
Simile,Your dog is very excited to see you and acting quite peculiar,Your dog is very excited to see you and is acting like a hyperactive sloth.
Simile,You wake up to find that is unusually quiet,You wake up to find that is like a hibernating forest.
Simile,"It was obscene, but she was drawn to it, fascinated","It was obscene, but she was drawn to it, like a moth to a flame."
Simile,An ordinary citizen coming to power in this way is unprecedented,An ordinary citizen coming to power in this way is like a new chapter in history.
Simile,"They were well-cooked, and actually tasted nice","They were well-cooked, and actually tasted like the chef had tried."
Simile,You discovered that your body is completely indestructible,You discovered that your body is like bulletproof steel.
Simile,You wake up to find that is unusually quiet,You wake up to find that it is like cotton is stuffed in your ears.
Simile,They put up a brave face as governments become increasingly authoritarian,They put up a brave face as governments become like tightening iron fists.
